Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
orhangen-parla-drop,Pärlörhängen 'Droppe',"<p>Klassiska droppformade örhängen med en liten sötvattenspärla. Diskreta nog för vardag, fina nog för fest.</p><p><strong>Om denna vintage-pärla:</strong> En kvarglömd klassiker från lagret, aldrig burna, aldrig sålda. Tidlösa pärlor som stått och väntat på sin första ägare sedan varumärket lade ner.</p>",Fyndlådan,Örhängen,"pärla, klassiker, orhangen",TRUE,Title,Default Title,orhangen-parla-drop,1,deny,manual,89.00,249.00,TRUE,TRUE,,1,Pärlörhängen 'Droppe',active
orhangen-guldhoops-liten,Guldhoops 'Mini',"<p>Små ringörhängen i guldton. Den där lagom-storleken som passar till precis allt.</p><p><strong>Om denna vintage-pärla:</strong> Deadstock i sin originalpåse. Små hoops som aldrig hann ut i butik innan lagret tömdes, nu får de äntligen ett öra att sitta på.</p>",Fyndlådan,Örhängen,"hoops, guld, vardag, orhangen",TRUE,Metall,Guld,orhangen-guldhoops-liten-guld,3,deny,manual,95.00,199.00,TRUE,TRUE,,1,Guldhoops 'Mini',active
orhangen-guldhoops-liten,,,,,,,,Silver,orhangen-guldhoops-liten-silver,3,deny,manual,95.00,199.00,TRUE,TRUE,,,,
orhangen-stjarna-stud,Stjärnörhängen 'Twinkle',"<p>Pyttesmå stjärnor i studs-modell. Blänker till precis lagom.</p><p><strong>Om denna vintage-pärla:</strong> Ett fynd ur konkurslagret, små stjärnor som legat orörda i sina fack. Aldrig burna, redo att glittra för första gången.</p>",Fyndlådan,Örhängen,"studs, stjärna, orhangen",TRUE,Title,Default Title,orhangen-stjarna-stud,12,deny,manual,79.00,169.00,TRUE,TRUE,,1,Stjärnörhängen 'Twinkle',active
orhangen-emalj-blomma,Emaljörhängen 'Blom',"<p>Handmålad emaljblomma i varma toner. Retro-vibbar rakt av.</p><p><strong>Om denna vintage-pärla:</strong> Färgstarka emaljblommor som andas 90-tal. Osålt lager från varumärkets sista kollektion, helt oanvända.</p>",Fyndlådan,Örhängen,"emalj, retro, färg, orhangen",TRUE,Title,Default Title,orhangen-emalj-blomma,3,deny,manual,98.00,229.00,TRUE,TRUE,,1,Emaljörhängen 'Blom',active
orhangen-kristall-chandelier,Kristallörhängen 'Chandelier',"<p>Hängande kristaller som fångar ljuset. Festörhängena du inte visste att du behövde.</p><p><strong>Om denna vintage-pärla:</strong> De mest dramatiska i lagret. Kristaller som aldrig fått dansa på ett golv, deadstock som väntar på sin premiär.</p>",Fyndlådan,Örhängen,"kristall, fest, orhangen",TRUE,Title,Default Title,orhangen-kristall-chandelier,2,deny,manual,110.00,299.00,TRUE,TRUE,,1,Kristallörhängen 'Chandelier',active
orhangen-geometrisk-triangel,Örhängen 'Triangel',<p>Rena geometriska trianglar. Minimalistiskt och grafiskt.</p><p><strong>Om denna vintage-pärla:</strong> Grafisk formgivning från en svunnen kollektion. Oanvänt lager som känns förvånansvärt nutida.</p>,Fyndlådan,Örhängen,"geometrisk, minimal, orhangen",TRUE,Metall,Guld,orhangen-geometrisk-triangel-guld,4,deny,manual,85.00,,TRUE,TRUE,,1,Örhängen 'Triangel',active
orhangen-geometrisk-triangel,,,,,,,,Silver,orhangen-geometrisk-triangel-silver,5,deny,manual,85.00,,TRUE,TRUE,,,,
orhangen-mane-halvmane,Halvmåneörhängen 'Luna',"<p>Böjda halvmånar med matt finish. Lite mystiska, väldigt fina.</p><p><strong>Om denna vintage-pärla:</strong> Månar som legat i mörkret på ett lager i åratal. Aldrig burna, nu redo att lysa upp.</p>",Fyndlådan,Örhängen,"måne, matt, orhangen",TRUE,Title,Default Title,orhangen-mane-halvmane,7,deny,manual,92.00,189.00,TRUE,TRUE,,1,Halvmåneörhängen 'Luna',active
orhangen-parla-cluster,Pärlörhängen 'Kluster',"<p>Ett litet kluster av pärlor i olika storlekar. Romantiskt utan att bli sött.</p><p><strong>Om denna vintage-pärla:</strong> Romantik ur ett konkursbo. Pärlkluster som aldrig hann bli någons favorit, förrän nu.</p>",Fyndlådan,Örhängen,"pärla, romantisk, orhangen",TRUE,Title,Default Title,orhangen-parla-cluster,4,deny,manual,105.00,259.00,TRUE,TRUE,,1,Pärlörhängen 'Kluster',active
